italian,polish
Cosa prendi?,Co bierzesz? / Co zamawiasz?
L’ultimo!,Ostatni!
Scusi… posso chiedere un’informazione?,Przepraszam… czy mogę zapytać o informację?
Certo! Prego.,Oczywiście! Proszę bardzo.
"Senta, i cornetti sono finiti?","Proszę pana/pani, czy rogaliki się skończyły?"
"Sofia, mi dispiace, hai sentito?","Sofia, przykro mi, słyszałaś?"
non c’è problema,nie ma problemu
non si preoccupi,proszę się nie martwić
non ti preoccupare,nie martw się
"Ma davvero, per me è uguale eh.","Ale naprawdę, dla mnie to bez różnicy."
boh,nie wiem / kto to wie / nie mam pojęcia
un attimo solo,chwileczkę
un momento,moment
"Ma veramente, non è un problema.","Ale naprawdę, to żaden problem."
"Va bene, se insiste…","Dobrze, skoro pan/pani nalega…"
ringraziare,dziękować
quant’è?,ile to kosztuje?
"Sì, tieni.","Tak, trzymaj."
Ecco i quattro di resto.,Oto cztery (euro) reszty.
Grazie ancora.,Jeszcze raz dziękuję.
Di niente,Nie ma za co
