italian, polish
solo / fedele come un cane,samotny / wierny jak pies
furbo come un gatto / una volpe,sprytny jak kot / jak lis
pauroso come un coniglio,strachliwy jak królik
vanitoso come un pavone,próżny jak paw
testardo come un mulo,uparty jak muł
mite come un agnello,łagodny jak baranek
lento come una lumaca / tartaruga,wolny jak ślimak / żółw
coraggioso come un leone,dzielny jak lew
stupida come un'oca,głupi jak gęś
scontroso come un orso,nieprzyjemny jak niedźwiedź
brutto come una scimmia,brzydki jak małpa
grasso come una balena / un ippopotamo,gruby jak wieloryb / hipopotam
feroce come una tigre,dziki jak tygrys
muto come un pesce,niemy jak ryba
rosso come un gambero,czerwony jak krewetka
agile come una gazzella,zwinny jak gazela
cieco come una talpa,ślepy jak kret
velenoso come un serpente,jadowity jak wąż
